"roadSize","beds","bathrooms","builtOn","landArea","price","location"
"13","5","4","2080 B.S.","0.3.0.0 Aana","2","Sitapaila,Syuchatar"
"14","2","3","2016","8 Aana","43500000","5 minutes drive from Kalanki Chowk, Kathmandu Municipality"
"13","6","5","2080 B.S","3 Anna",850000000,"Kathmandu,kalanki"
"13","5","4","2074 B.S.","5 Anna",500000000,"Thulobharayang,Budhha Chowk"
"20","5","5","2074 B.S","13 Anna",750000000,"KATHMANDU, SANOBHARYANG"
"16","3","3","2068","0-8-1-3","46000000","Civil Homes II Tinthana, Chandragiri"
"13",,"2","2079 B.S.","3 Anna",400000000,"Kathmandu, thulobharyang"
"3",,,"2075 B.S","3 Anna",300000000,"KATHMANDU, SANOBHARYANG"
"12","5","4","2073 B.S","8 Anna",300000000,"Kathmandu,Chhauni"
"14","4","3","2075 B.S","3 Anna",800000000,"Adeshwor temple"
"16","5","4","2080 B.S","4.1 Anna",800000000,"Thulobharyang, Ekdhara"
"14","4","4","2080 B.S","4.1 Anna",40000000,"Bhaisipati, Mantriquarter"
"20",,,"2080 B.S","4 Anna 2 Daam",750000000,"Kathmandu,Sano Bharayang"
"16","4","3","2075 B.S","3 Anna 1 Paisa",750000000,"Kathmandu, Sitapaila"
"13","4","3","2075 B.S","0.3.3.2",20000000,"Kathmandu, Sitapaila"
"14","6","3","2069 B.S","3 Anna",900000000,"Kathmandu, Thankot"
"13","3","1","2079 B.S.","0.3.2.2",400000000,"Kathmandu, Thankot"
"12","5","3","2077 B.S","3.1 Anna",27000000,"Kathmandu, Bafal"
"16","7","3",,"4.2 Anna",30000000,"Kathmandu, Sitapaila"
"10","5","4",,"4.2 Anna",250000000,"Kathmandu, Sitapaila"
