location,roadSize,bedrooms,bathrooms,landarea,price,builtOn
"Thaiba, Lalitpur",13 Feet,4,3,3.2 Anna,Rs. 2.4 Cr,2079 B.S
"Dhapasi, Kathmandu",14 Feet,4,3,3.2 Anna,Rs. 2.9 Cr,2055 B.S
"Itahari, Sunsari",32 Feet,12,4,0.14 kattha,Rs. 3.9 Cr,2069 B.S
"Chandol, Kathmandu",12 Feet,7,4,5.0 Anna,Rs. 3.6 Cr,2069 B.S
"Kirtipur, Kathmandu",20 Feet,4,3,7.2 Anna,Rs. 5.7 Cr,2079 B.S
"Ganesh Chowk, Kathmandu",13 Feet,4,5,4.0 Anna,Rs. 4.17 Cr,2079 B.S
"Budhanilkantha, Kathmandu",13 Feet,6,5,3.1 Anna,Rs. 2.99 Cr,2073 B.S
"Imadol, Lalitpur",12 Feet,6,2,3.2 Anna,Rs. 2 Cr,2072 B.S
"Grande Hospital, Kathmandu",10-12 Feet,5,3,4.0 Anna,Rs. 3.3 Cr,2079 B.S
"Nakhipot, Lalitpur",10-15 Feet,6,5,4.0 Anna,Rs. 3.9 Cr,2055 B.S
"Hattiban, Lalitpur",13 Feet,8,8,4.0 Anna,Rs. 2.65 Cr,2070 B.S
"Imadol, Lalitpur",13 Feet,6,4,3.2 kattha,Rs. 2.8 Cr,2072 B.S
"Budhanilkantha, Kathmandu",13 Feet,9,4,8.0 Anna,Rs. 5.5 Cr,2072 B.S
"Sgaun, Lalitpur",20 Feet,7,4,5.0 Anna,Rs. 3.35 Cr,2076 B.S
"Imadol, Lalitpur",10 Feet,1,1,2.5 Anna,Rs. 1.4 Cr,2073 B.S
"Tikathali, Lalitpur",13 Feet,5,3,3.0 Anna,Rs. 2.55 Cr,2076 B.S
"Imadol, Lalitpur",15 Feet,6,4,4 Anna,Rs. 3.25 Cr,2069 B.S
"Sitapaila, Kathmandu",18 Feet,4,3,3.1 Anna,Rs. 2.25 Cr,2078 B.S
"Tikathali, Lalitpur",13 Feet,7,3,3.0 Anna,Rs. 2.3 Cr,2073 B.S
"Budhanilkantha, Kathmandu",13 Feet,5,4,4.0 Anna,Rs. 3.5 Cr,2076 B.S
"Imadol, Lalitpur",20 Feet,4,4,3.1 Anna,Rs. 2.65 Cr,2061 B.S
"Sgaun, Lalitpur",13 Feet,6,5,4.0 Anna,Rs. 2.95 Cr,2069 B.S
"Tikathali, Lalitpur",13 Feet,2,1,3.1 Anna,Rs. 1.6 Cr,2071 B.S
"Chapali, Kathmandu",13 Feet,6,4,2.3 Anna,Rs. 2.7 Cr,2079 B.S
"Baseni, Chitwan",26 Feet,2,1,1.5 kattha,Rs. 3.5 Cr,2076 B.S
"Tikathali, Lalitpur",13 Feet,7,3,3.0 Anna,Rs. 2.3 Cr,2073 B.S
"Tikathali, Lalitpur",13 Feet,4,3,3.0 Anna,Rs. 2.3 Cr,2076 B.S
"Sundar basti, Kathmandu",13 Feet,6,5,4.2 Anna,Rs. 3.88 Cr,2069 B.S
"Mandikhatar, Kathmandu",13 Feet,7,5,4.1 Anna,Rs. 3.98 Cr,2070 B.S
"Budhanilkantha, Kathmandu",13 Feet,5,5,5.0 Anna,Rs. 4.35 Cr,2072 B.S
"Syuchatar, Kathmandu",10 Feet,4,2,3.0 Anna,Rs. 2.3 Cr,2072 B.S
"Kalanki, Kathmandu",10 Feet,5,3,3.0 Anna,Rs. 2.3 Cr,2069 B.S
"Pepsicola, Kathmandu",20 Feet,4,4,3.1 Anna,Rs. 3.4 Cr,2070 B.S
"Satungal, Kathmandu",4 Feet,3,3,2.2 Anna,Rs. 1.5 Cr,2072 B.S
"Baneshwor, Kathmandu",20 Feet,6,4,3.0 Anna,Rs. 3.8 Cr,2072 B.S
"Kapan, Kathmandu",10-12 Feet,12,4,6.0 Anna,Rs. 3.5 Cr,2069 B.S
"Mandikhatar, Kathmandu",13 Feet,6,5,4.0 Anna,Rs. 3.75 Cr,2069 B.S
"Tikathali, Lalitpur",13 Feet,8,5,4.2 Anna,Rs. 4.25 Cr,2079 B.S
"Imadol, Lalitpur",13 Feet,5,4,4.1 Anna,Rs. 3.45 Cr,2079 B.S
"Imadol, Lalitpur",13 Feet,5,5,3.0 Anna,Rs. 2.65 Cr,2076 B.S
"Imadol, Lalitpur",13 Feet,5,4,3.1 Anna,Rs. 3.15 Cr,2073 B.S
"Tikathali, Lalitpur",13 Feet,5,4,3.3 Anna,Rs. 3.75 Cr,2076 B.S
"Nakhipot, Lalitpur",12-18 Feet,4,4,3.2 Anna,Rs. 2.7 Cr,2072 B.S
"Buddha Chowk, Kathmandu",13 Feet,5,4,5.2 Anna,Rs. 3.9 Cr,2072 B.S
"New Buspark, Kathmandu",4 Feet,6,4,6.0 Anna,Rs. 4 Cr,2073 B.S
"New Buspark, Kathmandu",13 Feet,17,12,3.0 Anna,Rs. 3.5 Cr,2076 B.S
"Chhauni, Kathmandu",13 Feet,5,3,3.2 Anna,Rs. 3.5 Cr,2074 B.S
"Bhaisepati, Lalitpur",20 Feet,4,5,4.1 Anna,Rs. 5.86 Cr,2076 B.S
"Balkot, Bhaktapur",26 Feet,5,2,9.0 Anna,Rs. 4.5 Cr,2076 B.S
"Dhumbarahi, Kathmandu",13 Feet,8,7,5.2 Anna,Rs. 5.5 Cr,2073 B.S
"Bansbari, Kathmandu",12 Feet,5,5,4.2 Anna,Rs. 5.1 Cr,2070 B.S
"Naya Basti, Kathmandu",10 Feet,5,2,3.2 Anna,Rs. 2.6 Cr,2079 B.S
"Dhapasi, Kathmandu",13 Feet,5,3,3.0 Anna,Rs. 2.7 Cr,2072 B.S
"Megha City, Kathmandu",13 Feet,3,2,3.2 Anna,Rs. 1.2 Cr,2074 B.S
"Imadol, Lalitpur",18 Feet,7,5,5.2 Anna,Rs. 3.85 Cr,2076 B.S
"Bansbari, Kathmandu",12 Feet,4,5,4.3 Anna,Rs. 5.2 Cr,2076 B.S
"Thaiba, Lalitpur",13 Feet,2,3,4.1 Anna,Rs. 2.6 Cr,2073 B.S
"Imadol, Lalitpur",13 Feet,5,4,2.3 Anna,Rs. 2.4 Cr,2070 B.S
"Imadol, Lalitpur",13 Feet,5,3,3.2 Anna,Rs. 3.1 Cr,2065 B.S
"Imadol, Lalitpur",13 Feet,6,3,3.0 Anna,Rs. 2.55 Cr,2066 B.S
"Bojepokhari, Lalitpur",12 Feet,4,3,3.2 Anna,Rs. 2.85 Cr,2072 B.S
"Koteshwor, Kathmandu",27 Feet,10,6,5.0 Anna,Rs. 8.5 Cr,2068 B.S
"Sunakothi, Lalitpur",20 Feet,4,4,7.0 Anna,Rs. 5.15 Cr,2072 B.S
"Nakhipot, Lalitpur",13-20 Feet,5,5,3.0 Anna,Rs. 2.2 Cr,2070 B.S
"Baniyatar, Kathmandu",13 Feet,7,3,3.3 Anna,Rs. 2.7 Cr,2070 B.S
"Kapan, Kathmandu",13 Feet,6,5,3.2 Anna,Rs. 2.95 Cr,2074 B.S
"Budhanilkantha, Kathmandu",13 Feet,6,3,3.0 Anna,Rs. 2.8 Cr,2076 B.S
"Balaju, Kathmandu",12-18 Feet,4,3,9.1 Anna,Rs. 5.75 Cr,2076 B.S
"Bsthali, Kathmandu",10-20 Feet,6,4,2.3 Anna,Rs. 3.5 Cr,2079 B.S
"Bhaisepati, Lalitpur",13 Feet,4,5,8.2 Anna,Rs. 14 Cr,2072 B.S
"Godawari, Lalitpur",10-12 Feet,6,3,3.1 Anna,Rs. 1.75 Cr,2072 B.S
"Mandikhatar, Kathmandu",13 Feet,4,5,6.2 Anna,Rs. 4.35 Cr,2058 B.S
"Kalanki, Kathmandu",13 Feet,5,4,3.1 Anna,Rs. 2.35 Cr,2069 B.S
"Bouddha, Kathmandu",8 Feet,4,2,4.0 Anna,Rs. 2.5 Cr,2069 B.S
"Dhapasi, Kathmandu",20 Feet,4,2,6.0 Anna,Rs. 5.1 Cr,2079 B.S
"Sanepa, Lalitpur",14 Feet,5,5,6.7 Anna,Rs. 6.35 Cr,2079 B.S
"Hepali Height, Kathmandu",14-20 Feet,4,4,5.3 Anna,Rs. 7 Cr,2076 B.S
"Bhaisepati, Lalitpur",13 Feet,5,5,7.0 Anna,Rs. 7.8 Cr,2072 B.S
"Bhaisepati, Lalitpur",13 Feet,5,5,7.0 Anna,Rs. 8.5 Cr,2080 B.S
"Imadol, Lalitpur",13 Feet,5,3,3.0 Anna,Rs. 2.5 Cr,2072 B.S
"Tikathali, Lalitpur",13 Feet,2,1,3.0 Anna,Rs. 1.65 Cr,2074 B.S
"Budhanilkantha, Kathmandu",13 Feet,6,3,4.0 Anna,Rs. 3.45 Cr,2073 B.S
"Bafal, Kathmandu",12 Feet,6,2,2.2 Anna,Rs. 2.35 Cr,2074 B.S
"Kalanki, Kathmandu",13 Feet,4,5,4.2 Anna,Rs. 3.85 Cr,2074 B.S
"Rudreshwor, Kathmandu",12-13 Feet,5,4,5.0 Anna,Rs. 3.35 Cr,2073 B.S
"Tikathali, Lalitpur",13 Feet,9,3,2.3 Anna,Rs. 2.15 Cr,2076 B.S
"Dhapasi, Kathmandu",12 Feet,7,4,7.0 Anna,Rs. 3.9 Cr,2076 B.S
"Imadol, Lalitpur",20 Feet,5,3,3.0 Anna,Rs. 2.75 Cr,2073 B.S
"Mandikhatar, Kathmandu",13 Feet,6,5,3.1 Anna,Rs. 2.95 Cr,2070 B.S
"Chandragiri, Kathmandu",10 Feet,2,2,4.0 Anna,Rs. 1.6 Cr,2073 B.S
"Maharajgunj, Kathmandu",13 Feet,6,3,10.0 Anna,Rs. 7.25 Cr,2073 B.S
"Sundar basti, Kathmandu",13 Feet,6,5,4.5 Anna,Rs. 3.85 Cr,2076 B.S
"Golfutar, Kathmandu",16 Feet,4,3,4.0 Anna,Rs. 2.95 Cr,2069 B.S
"Dhapasi, Kathmandu",15 Feet,6,6,4.0 Anna,Rs. 2.5 Cr,2074 B.S
"Imadol, Lalitpur",13 Feet,3,3,3.0 Anna,Rs. 2.6 Cr,2076 B.S
"Imadol, Lalitpur",23 Feet,6,4,3.3 Anna,Rs. 3.25 Cr,2074 B.S
"Imadol, Lalitpur",12 Feet,5,3,3.5 Anna,Rs. 2.25 Cr,2069 B.S
"Imadol, Lalitpur",13 Feet,6,3,4.2 Anna,Rs. 4 Cr,2069 B.S
"Imadol, Lalitpur",13 Feet,4,4,3.1 Anna,Rs. 3.15 Cr,2069 B.S
"Imadol, Lalitpur",13 Feet,5,4,3.2 Anna,Rs. 3.3 Cr,2076 B.S
"Tikathali, Lalitpur",13 Feet,7,4,4.1 Anna,Rs. 2.7 Cr,2076 B.S
"Hattiban, Lalitpur",13 Feet,4,4,2.3 Anna,Rs. 2.25 Cr,2072 B.S
"Imadole, Lalitpur",16 Feet,6,4,3.3 Anna,Rs. 3.3 Cr,2079 B.S
"Raniban, Kathmandu",20 Feet,6,5,3.0 Anna,Rs. 3.6 Cr,2058 B.S
"Imadole, Lalitpur",16 Feet,6,5,4.0 Anna,Rs. 3.75 Cr,2072 B.S
"Nakkhu, Lalitpur",13 Feet,4,4,5.0 Anna,Rs. 3.99 Cr,2069 B.S
"Changathali, Lalitpur",10 Feet,7,3,4.0 Anna,Rs. 1.7 Cr,2069 B.S
"Imadole, Lalitpur",13 Feet,5,4,3.2 Anna,Rs. 2.45 Cr,2079 B.S
"Imadol, Lalitpur",13 Feet,5,5,4.0 Anna,Rs. 3.5 Cr,2079 B.S
"Budhanilkantha, Kathmandu",20 Feet,4,4,3.0 Anna,Rs. 3.2 Cr,2076 B.S
"Sitapaila, Kathmandu",13 Feet,6,6,6.0 Anna,Rs. 3.8 Cr,2076 B.S
"Budhanilkantha, Kathmandu",13 Feet,6,3,3.0 Anna,Rs. 2.8 Cr,2074 B.S
"Pepsicola, Kathmandu",13 Feet,5,5,13.0 Anna,Rs. 7.5 Cr,2073 B.S
"Ichangu Narayan, Kathmandu",10 Feet,4,3,3.3 Anna,Rs. 3.1 Cr,2076 B.S
"Pepsicola, Kathmandu",20 Feet,4,4,4.0 Anna,Rs. 3.25 Cr,2072 B.S
"Budhanilkantha, Kathmandu",10 Feet,5,2,5.1 Anna,Rs. 3.25 Cr,2080 B.S
"Kharibot, Kathmandu",13 Feet,6,3,3.2 Anna,Rs. 2.9 Cr,2072 B.S
"Budhanilkantha, Kathmandu",20 Feet,6,8,3 Anna,Rs. 2.8 Cr,2070 B.S
"Balkumari, Lalitpur",16 Feet,3,6,4.5 Anna,Rs. 6.6 Cr,2064 B.S
"Nepaltar, Kathmandu",11 Feet,7,4,3.0 Anna,Rs. 2.19 Cr,2060 B.S
"Nakhipot, Lalitpur",13 Feet,5,3,3.2 Anna,Rs. 2.8 Cr,2070 B.S
"Ramkot, Kathmandu",10 Feet,3,3,3.3 Anna,Rs. 1.75 Cr,2059 B.S
"Nakhipot, Lalitpur",20 Feet,5,4,3.5 Anna,Rs. 2.7 Cr,2060 B.S
"Hattiban, Lalitpur",13 Feet,6,5,3.2 Anna,Rs. 2.55 Cr,2070 B.S
"Kapan, Kathmandu",13 Feet,5,3,4.0 Anna,Rs. 3.65 Cr,2075 B.S
"Mandikhatar, Kathmandu",13 Feet,6,5,3.1 Anna,Rs. 2.95 Cr,2058 B.S
"Old Baneshwor, Kathmandu",16 Feet,6,4,3.0 Anna,Rs. 4.5 Cr,2060 B.S
"Dhobikhola, Kathmandu",27 Feet,5,6,3.5 Anna,Rs. 4.6 Cr,2074 B.S
"Bhangal , Kathmandu",8-10 Feet,3,2,3.1 Anna,Rs. 1.78 Cr,2074 B.S
"Hattigaunda, Kathmandu",13 Feet,7,4,5.0 Anna,Rs. 3.45 Cr,2074 B.S
"Imadol, Lalitpur",13 Feet,4,4,4 Anna,Rs. 3.5 Cr,2076 B.S
"Kapan, Kathmandu",12 Feet,4,3,2.2 Anna,Rs. 1.88 Cr,2076 B.S
"Imadol, Lalitpur",10 Feet,5,4,3 Anna,Rs. 2.7 Cr,2060 B.S
"Naxal, Kathmandu",10-15 Feet,3,4,16.0 Anna,Rs. 3 Lac,2052 B.S
"Phutung, Kathmandu",13 Feet,3,2,3.0 Anna,Rs. 1.5 Cr,2054 B.S
"Kadaghari, Kathmandu",12-18 Feet,6,4,5.2 Anna,Rs. 6.5 Cr,2074 B.S
"Lolang, Kathmandu",10 Feet,8,3,3.0 Anna,Rs. 2.55 Cr,2065 B.S
"Balkumari, Lalitpur",25 Feet,5,3,2.3 Anna,Rs. 3.3 Cr,2058 B.S
"Tikathali, Lalitpur",13 Feet,6,3,3.1 Anna,Rs. 2.5 Cr,2056 B.S
"Nakhipot, Lalitpur",10-12 Feet,7,6,4.0 Anna,Rs. 7.1 Cr,2074 B.S
"Imadol, Lalitpur",13 Feet,6,6,5.0 Anna,Rs. 3.7 Cr,2076 B.S
"Kusunti, Lalitpur",13 Feet,4,4,5.2 Anna,Rs. 3.95 Cr,2076 B.S
"Imadol, Lalitpur",13 Feet,5,3,3.0 Anna,Rs. 2.75 Cr,2075 B.S
"Dhapasi, Kathmandu",20 Feet,5,6,14.0 Anna,Rs. 13.5 Cr,2067 B.S
"Imadol, Lalitpur",10 Feet,4,3,2.3 Anna,Rs. 2.2 Cr,2071 B.S
"Dhapasi, Kathmandu",20 Feet,4,4,3.0 Anna,Rs. 1.2 Cr,2066 B.S
"Bagbazar, Kathmandu",12 Feet,4,3,5.1 Anna,Rs. 7 Cr,2070 B.S
"Sukedhara, Kathmandu",13 Feet,4,3,5.2 Anna,Rs. 5.5 Cr,2075 B.S
"Budhanilkantha, Kathmandu",12/13 Feet,2,2,5.2 Anna,Rs. 2.8 Cr,2076 B.S
"Satdobato, Lalitpur",13 Feet,5,5,6.1 Anna,Rs. 4.5 Cr,2058 B.S
"Bistachhap, Lalitpur",13 Feet,8,4,4.0 Anna,Rs. 1.35 Cr,2060 B.S
"Imadol, Lalitpur",13 Feet,5,4,3.3 Anna,Rs. 3.25 Cr,2074 B.S
"Imadol, Lalitpur",16 Feet,4,4,4.0 Anna,Rs. 3.75 Cr,2074 B.S
"Kalanki, Kathmandu",10-12 Feet,5,6,3.3 Anna,Rs. 2.6 Cr,2076 B.S
"Maharajgunj, Kathmandu",14 Feet,4,2,4.0 Anna,Rs. 2.4 Cr,2052 B.S
"Dhumbarahi, Kathmandu",10 Feet,3,3,4.0 Anna,Rs. 3.8 Cr,2054 B.S
"Kapan, Kathmandu",13 Feet,6,5,4 Anna,Rs. 2.95 Cr,2074 B.S
"Kalanki, Kathmandu",20 Feet,5,4,4.2 Anna,Rs. 2.55 Cr,2065 B.S
"Kapan, Kathmandu",12 Feet,8,3,4.0 Anna,Rs. 3.1 Cr,2058 B.S
"Imadol, Lalitpur",20  Feet,4,4,4 Anna,Rs. 4.25 Cr,2076 B.S
"Maharajgunj, Kathmandu",20 Feet,4,5,3.0 Anna,Rs. 3 Cr,2074 B.S
"Budhanilkantha, Kathmandu",13 Feet,6,3,4.0 Anna,Rs. 3.45 Cr,2076 B.S
"Sanobharyang, Kathmandu",13 Feet,8,4,11.0 Anna,Rs. 7.4 Cr,2054 B.S
"Sunakothi, Lalitpur",20 Feet,4,4,3.2 Anna,Rs. 3.75 Cr,2070 B.S
"Bhaisepati, Lalitpur",14 Feet,5,7,5 Anna,Rs. 8.5 Cr,2074 B.S
"Bhaktapur, Bhaktapur",12 Feet,2,2,3.0 Anna,Rs. 2 Cr,2069 B.S
"Hattigaunda, Kathmandu",14 Feet,7,4,6.1 Anna,Rs. 3.45 Cr,2067 B.S
"Panipokhari, Kathmandu",18 Feet,7,4,3.2 Anna,Rs. 6.5 Cr,2065 B.S
"Gokarna, Kathmandu",32 Feet,6,3,4.0 Anna,Rs. 3 Cr,2075 B.S
"Budhanilkantha, Kathmandu",13 Feet,5,4,4.0 Anna,Rs. 3.4 Cr,2077 B.S
"Dhumbarahi, Kathmandu",12 Feet,9,6,8.0 Anna,Rs. 6.75 Cr,2074 B.S
"Budhanilkantha, Kathmandu",16 Feet,6,3,6.0 Anna,Rs. 4.7 Cr,2075 B.S
"Gongabu, Kathmandu",20 Feet,6,5,4.0 Anna,Rs. 6 Cr,2073 B.S
"Khadka Gaun, Kathmandu",13 Feet,5,4,4.0 Anna,Rs. 3.3 Cr,2073 B.S
"Dhumbarahi, Kathmandu",12-18 Feet,6,3,17.0 Anna,Rs. 14 Cr,2071 B.S
"Budhanilkantha, Kathmandu",13 Feet,6,3,4.0 Anna,Rs. 3.4 Cr,2077 B.S
"Lazimpat, Kathmandu",12 Feet,6,3,4.3 Anna,Rs. 4.2 Cr,2070 B.S
"Budhanilkantha, Kathmandu",13 Feet,6,3,4.0 Anna,Rs. 3.45 Cr,2069 B.S
"Sunakothi, Lalitpur",20 Feet,3,4,5.0 Anna,Rs. 3.75 Cr,2073 B.S
"Bhaisepati, Lalitpur",13  Feet,4,5,6.0 Anna,Rs. 7.8 Cr,2067 B.S
"Hattigaunda, Kathmandu",20 Feet,4,5,6.2 Anna,Rs. 7.7 Cr,2065 B.S
"Syuchatar, Kathmandu",18 Feet,4,3,4.0 Anna,Rs. 3.8 Cr,2075 B.S
"Gwarko, Lalitpur",13 Feet,2,1,2.3 Anna,Rs. 1.55 Cr,2075 B.S
"Maharajgunj, Kathmandu",10-12 Feet,4,4,11.0 Anna,Rs. 10.5 Cr,2064 B.S
"Chhetrapati, Kathmandu",15 Feet,10,4,10.0 Anna,Rs. 12.5 Cr,2065 B.S
"Imadol, Lalitpur",13 Feet,4,4,3.0 Anna,Rs. 2.35 Cr,2076 B.S
"Sitapaila, Kathmandu",14-20 Feet,4,5,7.2 Anna,Rs. 6.25 Cr,2065 B.S
"Thaiba, Lalitpur",20 Feet,4,3,3.3 Anna,Rs. 1.8 Cr,2060 B.S
"Imadole, Lalitpur",13 Feet,5,3,3.2 Anna,Rs. 2.7 Cr,2065 B.S
"Koteshwor, Kathmandu",6 Feet,5,5,4.0 Anna,Rs. 4.15 Cr,2073 B.S
"Sgaun, Lalitpur",10/13 Feet,4,3,3.0 Anna,Rs. 2.04 Cr,2075 B.S
"Bhaisepati, Lalitpur",13 Feet,4,5,6.0 Anna,Rs. 7.8 Cr,2060 B.S
"Chardobato, Bhaktapur",20 Feet,6,6,4.2 Anna,Rs. 4.1 Cr,2070 B.S
"Mandikhatar, Kathmandu",13 Feet,4,3,4.3 Anna,Rs. 4 Cr,2076 B.S
"Deuba Chowk, Kathmandu",13 Feet,6,4,6.0 Anna,Rs. 4.35 Cr,2076 B.S
"Dhapasi, Kathmandu",13 Feet,4,4,10.0 Anna,Rs. 5.8 Cr,2076 B.S
"Gothatar, Kathmandu",10 Feet,8,5,4.0 Anna,Rs. 3.8 Cr,2074 B.S
"Grande Hospital, Kathmandu",13 Feet,12,5,3.2 Anna,Rs. 3 Cr,2076 B.S
"Danchhi, Kathmandu",10-24 Feet,4,4,3.0 Anna,Rs. 1.5 Cr,2070 B.S
"Sainbu, Lalitpur",15 Feet,5,4,4.0 Anna,Rs. 3 Cr,2076 B.S
"Harisiddhi, Lalitpur",13-20 Feet,7,4,6.0 Anna,Rs. 3.5 Cr,2074 B.S
"Thali, Kathmandu",10 Feet,4,2,3.5 Anna,Rs. 1.55 Cr,2075 B.S
"Kapan, Kathmandu",13 Feet,6,5,4.1 Anna,Rs. 2.95 Cr,2070 B.S
"Nakhipot, Lalitpur",16-22 Feet,5,6,4.5 Anna,Rs. 5 Cr,2060 B.S
"Khumaltar, Lalitpur",13 Feet,3,4,5.0 Anna,Rs. 5.5 Cr,2069 B.S
"Maharajgunj, Kathmandu",14-20 Feet,8,8,4.2 Anna,Rs. 7.5 Cr,2076 B.S
"Bhangal , Kathmandu",10-12 Feet,5,3,3.2 Anna,Rs. 2.95 Cr,2070 B.S
"Shankhamul, Kathmandu",20-26 Feet,7,3,6.2 Anna,Rs. 6.8 Cr,2076 B.S
"Gaurighat, Kathmandu",13 Feet,4,4,3.0 Anna,Rs. 2.3 Cr,2076 B.S
"Gwarko, Lalitpur",13 Feet,4,3,3.1 Anna,Rs. 2.7 Cr,2068 B.S
"Imadol, Lalitpur",13 Feet,5,4,4.0 Anna,Rs. 2.9 Cr,2060 B.S
"Imadol, Lalitpur",13 Feet,4,4,3.2 Anna,Rs. 2.75 Cr,2060 B.S
"Narayantar, Kathmandu",12 Feet,12,6,4.2 Anna,Rs. 3.5 Cr,2060 B.S
"Thali, Kathmandu",10 Feet,2,1,3.2 Anna,Rs. 1.33 Cr,2076 B.S
"Bhangal , Kathmandu",8-10 Feet,4,3,3.2 Anna,Rs. 2.85 Cr,2060 B.S
"Dhapasi, Kathmandu",13 Feet,4,3,10.0 Anna,Rs. 6.1 Cr,2067 B.S
"Suryabinayak, Bhaktapur",10 Feet,8,3,6.0 Anna,Rs. 8.2 Cr,2076 B.S
"Lubhu, Lalitpur",13 Feet,5,2,2.2 Anna,Rs. 1.7 Cr,2076 B.S
"Budhanilkantha, Kathmandu",13-16 Feet,6,6,6.0 Anna,Rs. 3.9 Cr,2077 B.S
"Jarankhu, Kathmandu",10 Feet,4,3,3.2 Anna,Rs. 1.6 Cr,2069 B.S
"Katunje, Bhaktapur",13 Feet,5,4,8.0 Anna,Rs. 3.5 Cr,2065 B.S
"Chyau Danda, Lalitpur",20 Feet,4,3,3.0 Anna,Rs. 2.4 Cr,2068 B.S
"Bansbari, Kathmandu",12-18 Feet,3,3,6.1 Anna,Rs. 6.5 Cr,2076 B.S
"Imadol, Lalitpur",20 Feet,4,3,3.1 Anna,Rs. 2.65 Cr,2076 B.S
"Naya Bazar, Kathmandu",10 Feet,5,4,4.0 Anna,Rs. 3.3 Cr,2076 B.S
"Nagdaha, Lalitpur",20 Feet,4,4,4.0 Anna,Rs. 4.15 Cr,2070 B.S
"Thecho, Lalitpur",16 Feet,4,4,4.0 Anna,Rs. 1.9 Cr,2074 B.S
"Mandikhatar, Kathmandu",13 Feet,5,5,8.0 Anna,Rs. 6.5 Cr,2076 B.S
"Icimod, Lalitpur",13 Feet,5,4,4.0 Anna,Rs. 3.05 Cr,2076 B.S
"Imadol, Lalitpur",26 Feet,3,3,4.0 Anna,Rs. 4 Cr,2070 B.S
"Chundevi, Kathmandu",12-18 Feet,5,4,6.1 Anna,Rs. 7.5 Cr,2077 B.S
"Godawari, Lalitpur",20 Feet,5,4,5.0 Anna,Rs. 4.19 Cr,2070 B.S
"Chunikhel, Kathmandu",10 Feet,7,3,3.0 Anna,Rs. 2.5 Cr,2069 B.S
"Gairidhara, Kathmandu",12 Feet,4,4,5.0 Anna,Rs. 5.1 Cr,2075 B.S
"Lazimpat, Kathmandu",10-12 Feet,5,4,6.0 Anna,Rs. 5.6 Cr,2062 B.S
"Chabahil, Kathmandu",8 Feet,4,2,6.2 Anna,Rs. 3.5 Cr,2062 B.S
"Matatirtha, Kathmandu",13 Feet,3,2,4.0 Anna,Rs. 1.8 Cr,2076 B.S
"Bansbari, Kathmandu",13 Feet,6,5,6.2 Anna,Rs. 5.5 Cr,2070 B.S
"Dahachowk, Kathmandu",13-20 Feet,4,5,5.3 Anna,Rs. 2.9 Cr,2063 B.S
"Bhaisepati, Lalitpur",10 Feet,3,4,4.2 Anna,Rs. 5.5 Cr,2062 B.S
"Swoyambhu, Kathmandu",20 Feet,5,3,2.2 Anna,Rs. 2.75 Cr,2062 B.S
"Bafal, Kathmandu",13 Feet,5,4,5.0 Anna,Rs. 3.65 Cr,2065 B.S
"Chapali, Kathmandu",13 Feet,5,3,6.0 Anna,Rs. 6.15 Cr,2068 B.S
"Chandragiri, Kathmandu",10 Feet,6,3,3.2 Anna,Rs. 1.7 Cr,2076 B.S
"Imadol, Lalitpur",13 Feet,4,4,3.0 Anna,Rs. 2.55 Cr,2076 B.S
"Imadol, Lalitpur",13 Feet,5,5,4.0 Anna,Rs. 3.25 Cr,2076 B.S
"Imadol, Lalitpur",13 Feet,6,5,3.5 Anna,Rs. 2.65 Cr,2070 B.S
"Hattiban, Lalitpur",13 Feet,5,4,3.2 Anna,Rs. 2.05 Cr,2074 B.S
"Mmaiju, Kathmandu",12 Feet,6,3,4.2 Anna,Rs. 2.5 Cr,2076 B.S
"Godamchaur, Lalitpur",13 Feet,14,6,12.0 Anna,Rs. 2.9 Cr,2070 B.S
"Tripureshwor, Kathmandu",8 Feet,4,3,5.0 Anna,Rs. 3.2 Cr,2070 B.S
"Budhanilkantha, Kathmandu",13 Feet,5,3,8.3 Anna,Rs. 5.15 Cr,2069 B.S
"Dhapasi, Kathmandu",13 Feet,4,2,10.0 Anna,Rs. 5.8 Cr,2076 B.S
"Kupandole, Lalitpur",20 Feet,10,6,5.0 Anna,Rs. 6.4 Cr,2074 B.S
"Bsthali, Kathmandu",13 Feet,3,3,2.5 Anna,Rs. 2.35 Cr,2076 B.S
"Kumaripati, Lalitpur",15 Feet,7,4,6.0 Anna,Rs. 4.5 Cr,2077 B.S
"Swoyambhu, Kathmandu",10 Feet,6,4,3.1 Anna,Rs. 3.15 Cr,2075 B.S
"Swoyambhu, Kathmandu",10 Feet,6,4,3.0 Anna,Rs. 2.95 Cr,2076 B.S
"Shantinagar, Kathmandu",9 Feet,11,4,5.3 Anna,Rs. 4.98 Cr,2050 B.S
"Bafal, Kathmandu",12-14 Feet,4,3,3.2 Anna,Rs. 3.7 Cr,2077 B.S
"Sundar basti, Kathmandu",13 Feet,8,4,3.2 Anna,Rs. 2.7 Cr,2063 B.S
"Taukhel, Lalitpur",20 Feet,5,4,4.2 Anna,Rs. 3.8 Cr,2076 B.S
"Tahachal, Kathmandu",10 Feet,2,1,2.2 Anna,Rs. 1.35 Cr,2058 B.S
"Sundar basti, Kathmandu",20 Feet,6,5,5.0 Anna,Rs. 3.95 Cr,2062 B.S
"Gagangauda, Kaski",20 Feet,2,2,936 sq. ft,Rs. 10 Cr,2065 B.S
