location,roadSize,bedrooms,bathrooms,landarea,price,builtOn
"Kathmandu, Sanepa",10,7,5,11 Anna,110000000,2060 B.S.
"Kathmandu, Chhauni",10,5,4,4 Anna 3 paisa,27500000,2080 B.S
"Kathmandu, Mmaiju",13,7,5,1 ropani,80000000,2069 B.S
"Kathmandu, Bafal",14,5,3,3 Anna 1 Dam,25000000,2079 B.S.
"Kathmandu, Sitapaila",14,6,4,4 Anna,32500000,2080 B.S
"Kathmandu, Swoyambhu",15,4,4,4 Anna 1 Paisa 2 Daam,42500000,2075 B..S
"Lalitpur,Imadol",20,7,6,4 Anna 2 paisa,41500000,2080 B.S
"Kathmandu, Ramkot",13,8,8,8 Anna,44000000,2077 B.S
"Kathmandu, Sano Bharyang",10,13,9,4 Anna 3 paisa,34500000,2065 B.S
"Lalitpur,Imadol",13,5,4,3 Anna 2 Paisa,30500000,2079 B.S.
"Lalitpur,Imadol",20,7,4,3 Anna,28000000,2080 B.S
"Lalitpur,Imadol",20,5,5,3 Anna 2 Paisa,35500000,2080 B.S
"Lalitpur,Tikathali",23,6,4,4 Anna,44500000,2080 B.S
"Lalitpur,Imadol",13,4,4,3 Anna,25200000,2080 B.S
"Imadol, Lalitpur",13,6,4,4 Anna 1 Paisa,42000000,2080 B.S
"Lalitpur,Imadol",13,7,6,3 Anna 3 Dam,25000000,2079 B.S.
"Lalitpur,Imadol",13,6,5,3 Anna 3 Dam,21000000,2080 B.S
"Lalitpur,Bhaisepati",15,4,3,17,95000000,2070 B.S
"Kathmandu, Sitapaila",22,5,2,3 Anna 2 Paisa,35000000,2074 B.S
"Lalitpur,Bhaisepati",12,4,4,4.5 Anna,43000000,2079 B.S.
"Kathmandu, Swoyambhu",12,6,4,3 Anna 2 Paisa,32500000,2080 B.S
"Kathmandu, Swoyambhu",20,6,6,3 Anna 2 Paisa,37500000,2080 B.S
"Lalitpur,Imadol",13,6,4,4 Anna,33500000,2080 B.S
"Lalitpur,Imadol",13,6,6,3 Anna 2 paisa,29500000,2080 B.S.
"Lalitpur,Imadol",13,6,3,3 Anna,26000000,2080 B.S
"Lalitpur,Imadol",13,6,4,2.75 Anna,23000000,2080 B.S
"Lalitpur,Imadol",13,7,4,3.2 Anna,31500000,2080 B.S
"Bhaktapur,Suryabinayak",25,6,6,15 Anna,90000000,2075 B.S
"Kathmandu, Sitapaila",16,5,4,2 Anna 3 paisa,22300000,2070 B.S
"Kathmandu, Kavresthali",13,5,5,5 Anna 2 paisa 2 Dam,30000000,2079 B.S.
"Kathmandu, Swoyambhu",16,5,4,4 Anna 1 Dam,40000000,2073 B.S
"Chandragiri,Kathmandu",13,5,5,4 Anna 2 paisa 1 Dam,23500000,2078 B.S.
"Suryabinayak, Bhaktapur",20,3,3,3 Anna,26500000,2080 B.S
"Kathmandu, Buddhanilkantha",12,4,5,5 Anna,38000000,2078 B..S
"Kathmandu,Koteshwor",20,9,7,15 Anna 2 paisa,92000000,2080 B.S
"Kathmandu, Baneshwor",24,7,4,1 ropani 1 Anna,120000000,2066 B.S
"Kathmandu,Budhanilkantha",13,5,4,2 Anna 3 paisa,22500000,2080 B.S
"Kathmandu,Budhanilkantha",13,5,4,2 Anna 3 paisa,22500000,2080 B.S
"Kathmandu,Ramkot",13,7,3,4 Anna,27500000,2080 B.S
"Lalitpur,Imadole",13,6,5,4 Anna 1.5 Dam,41500000,2080 B.S
"Lalitpur,Imadol",20,5,6,3 Anna 2 Paisa,33500000,2080 B.S
"Lalitpur,Imadol",13,5,5,3 Anna 1 Dam,31000000,2080 B.S.
"Lalitpur,Imadol",13,5,4,4 Anna 1 Paisa,42500000,2080 B.S.
"Lalitpur,Imadol",13,5,4,3 Anna 1 paisa 2 Dam,33500000,2081 B.S.
"Lalitpur,Imadol",13,5,3,3 Anna 1 paisa 2 Dam,35500000,2081 B.S.
"Lalitpur,Imadol",14,7,8,5 Anna 1 paisa,33500000,2081 B.S.
"Kathmandu, Buddhanilkantha",13,5,4,3 Anna,26500000,2080 B.S
"Kathmandu, Buddhanilkantha",20,7,5,5Anna  1 paisa,67000000,2081 B.S.
"Satdobato,Lalitpur",11,6,3,3 Anna,33000000,2080 B.S
"Kalanki-14, Kathmandu",9,5,3,4anna,35000000,2065 B.S
"kathmandu, Sano Bharyang",13,8,4,3.5 Anna,38000000,2078 B.S.
"Lalitpur,Imadole",20,7,6,5 Anna,57000000,2080 B.S
"Lalitpur,Imadol",20,6,5,5 Anna,49500000,2080 B.S.
"Kathmandu, Ramkot",12,6,7,6 Anna,38000000,2074 B.S
"Bhaisepati, Lalitpur",13,5,3,10 Anna,75000000,2071 B.S
"Kathmandu,Chandragiri",12,6,5,5 Anna 1 paisa 3 Dam,38000000,2081 B.S.
"Kathmandu, Raniban",22,7,5,8 Anna,60000000,2076 B.S.
"Kathmandu, Raniban",13,6,5,8 Anna 2 paisa,70000000,2079 B.S.
"Kathmandu, Satungal",12,6,3,4 Anna,19500000,2081 B.S
" Maitidevi , kathmandu",19,2,1,3 Anna,26000000,2004 B.S
"Kalanki, Kathmandu",12,7,4,4 Anna,29500000,2081 B.S.
"Kathmandu, Syuchatar",13,5,3,3 Anna 1 Dam,30000000,2081 B.S.
"Kathmandu,Raniban",13,4,4,3 Anna,25000000,2080 B.S
"Kathmandu,Gothatar",20,7,5,3 Anna 1 paisa,28000000,2081 B.S.
"Kathmandu, Gothatar",20,5,4,3 Anna 1 paisa,28000000,2081 B.S.
"Kathmandu,Koteshwor",14,5,5,3 Anna 2 Dam,32500000,2081 B.S.
"Kathmandu, soaltee mode",12,4,5,7 Anna,40000000,2063 B.S
"kathmandu, Sano Bharyang",20,4,4,4.5 Anna,45000000,2080 B.S
"Lalitpur, Nakhipot",12,5,4,0-7-2-2,76000000,2022
"Kathmandu, Sitapaila",20,5,3,13 Anna 2 paisa,95000000,2057 B.S.
"Lalitpur,Bhaisepati",20,5,4,5 Anna 2 paisa,41200000,2071 B.S
"Kathmandu, Sitapaila",13,6,4,8 Anna 3 paisa 3 Dam,70000000,2073 B.S.
"Kathmandu,Budhanilkantha",20,8,5,6 Anna,55000000,2081 B.S.
"Kathmandu, kalanki",13,5,3,2 Anna 3 paisa,17500000,2080 B.S.
"Kathmandu,Kalanki",15,7,5,3 Anna 2 paisa,29000000,2081 B.S.
"Kathmandu, Syuchatar",13,6,6,2 Anna 2 paisa,21500000,2081 B.S.
"Kathmandu, Sitapaila",12,4,3,3 Anna 2 paisa 3 Dam,28000000,2080 B.S
"Lalitpur,Imadole",16,7,6,4 Anna 1 paisa,42500000,2081 B.S.
"Lalitpur,Imadole",26,6,6,4 Anna,44500000,2081 B.S.
"Lalitpur,Imadol",26,6,4,3.75 Anna,30000000,2081 B.S.
"Kathmandu, Halchowk",13,6,5,3 Anna,29500000,2080 B.S
"kathmandu, Sano Bharyang",20,6,6,4 Anna,46000000,2081 B.S.
"Lalitpur,hattiban",12,5,2,2 Anna 2 paisa 3 Dam,22500000,2073 B.S
"Kathmandu,Adeshwor",13,5,3,3.2 Anna,26000000,2080 B.S
"Kathmandu,Syuchatar",13,6,5,9 Anna,65000000,2081 B.S.
"Kathmandu, Tokha, Sudarsan Height",14,5,4,3.2 Anna,28000000,2081 B.S.
"Kathmandu, Bafal",12,4,4,3 Anna,40000000,2079 B.S.
"Kathmandu, Baneshwor",20,4,4,4 Anna,39000000,2080 B.S
"Imadole, Lalitpur",13,6,4,3 Anna 3 Paisa,42500000,2081 B.S
"Kathmandu,Naikap",13,6,3,6.2 Anna,52500000,2079 B.S.
